,Mean-accX,Range-accX,Var-accX,Median-accX,Mean-accY,Range-accY,Var-accY,Median-accY,Mean-accZ,Range-accZ,Var-accZ,Median-accZ,Mean-gyroX,Range-gyroX,Var-gyroX,Median-gyroX,Mean-gyroY,Range-gyroY,Var-gyroY,Median-gyroY,Mean-gyroZ,Range-gyroZ,Var-gyroZ,Median-gyroZ,label
0,-5374.1,9732,9806119,-7697,131.25,14410,16882072,-3144,-12540.41,10194,11178321,-14951,-1379.18,25361,80544520,-8635,-1336.47,14903,19487628,-5412,3446.72,16020,26228730,2114,1
0,-4201.36,12372,19174874,-6588,-1890.18,10336,8486564,-7617,-13010.87,12126,13600311,-15860,-2066.08,24477,69148168,-1097,-2947.35,17491,34014120,-4436,6080.45,16305,26167232,-1138,1
0,-3883.97,13018,23546974,-8813,-1219.84,12929,14107515,-4564,-12403.24,13179,16365252,-14248,-2227.3,25749,79952520,-4352,-633.25,16729,27465738,-5536,5610.81,16992,26813690,1616,1
0,-3567.82,11412,13155731,-3521,-1167.04,10366,9140274,-7117,-13673.2,11188,11352102,-16515,-2868.85,28045,76847432,-2698,-3680.7,15896,25003550,-3591,5296.88,16121,25658050,-46,1
0,-5660.16,12347,15260621,-8225,2184.22,9181,5739679.5,-2525,-12622.26,10557,10806138,-14784,-2535.2,23729,65140504,-6012,-1772.33,18101,27737338,-5249,4339.54,17415,26563770,2319,1
0,-5896.42,14423,20579182,-8900,1453.2,9514,7435730,-1157,-11992.92,12659,15158431,-16005,-2400.72,23579,70600664,-2523,-1555.01,17660,33285240,-4572,3858.23,13995,21835420,-996,1
0,-6361.71,13610,18970014,-8641,58.16,7995,5598318,-2400,-12023.26,11364,12068968,-13780,-1979.63,23492,56977792,-1463,-1218.34,22509,41801704,-2720,4629.32,15964,26727408,-386,1
0,-5852.21,15309,25359194,-8513,239.38,8257,5061765,-3607,-12328.62,11396,11962950,-14339,-2834.99,23943,57302248,-2076,-2488.67,19661,39804208,-1957,5073.39,16328,28010906,-1430,1
0,-4845.44,14708,34933336,-9911,749.11,11524,12728276,-2490,-12058.09,11898,14804527,-13733,-2071.74,25009,79251232,-2384,-2651.43,16514,22789092,-6095,5195.19,16709,22474642,-1600,1
0,-4964.41,10689,9751094,-5787,775.52,10623,12132109,-2350,-12668.46,13859,19300582,-16037,-4131.15,29685,92512152,-6471,-66.45,16036,23215378,-7408,3973.26,17421,21408630,1291,1
0,-5217.57,7782,7210603.5,-6501,2322.57,12871,21209094,3270,-12950.51,11838,14462205,-15446,-944.08,23420,69218584,-6524,-1128.15,10038,11302705,-2524,3093.79,8882,7386870,2679,1
0,-6219.41,10043,11544928,-8628,1405.27,9482,9806511,889,-12797.85,10812,13136776,-14798,-2507.04,26590,83819232,-9815,-1658.22,12362,17186416,-4232,3887.84,12981,15260520,1922,1
0,-5361.87,10394,14295748,-9752,1022.41,11787,15686094,2838,-12575.38,11466,16147514,-13363,-2357.42,25616,93323512,-13944,-943.52,14066,20154850,-2738,5062.46,14448,21998346,2871,1
0,-5501.58,11467,16508805,-8285,1036.59,11674,15522582,2522,-12065.87,10931,12869737,-12642,-2497.99,30708,107661888,-17051,-2158.31,14602,21833172,-2946,4844.07,12694,17474932,2598,1
