accX,accY,accZ,gyroX,gyroY,gyroZ
6683,-1759,-12162,-5817,-9342,3387
6573,-1339,-12260,-5127,-8613,3364
6502,-1091,-12259,-4521,-7508,3254
6502,-962,-12186,-3922,-6112,3118
6588,-882,-12087,-3269,-4522,2920
6707,-858,-11988,-2526,-2810,2676
6865,-860,-11913,-1689,-992,2377
7088,-939,-11769,-795,983,2004
7445,-1132,-11636,161,3213,1634
7902,-1394,-11497,1298,5591,1178
8295,-1780,-11366,2548,8063,522
8525,-2270,-11212,3877,10533,-229
8711,-2776,-10935,5249,12757,-885
8892,-3228,-10727,6619,14758,-1206
9030,-3621,-10619,7984,16559,-1071
9081,-4029,-10492,9194,18179,-394
9164,-4472,-10269,10167,19638,917
9464,-4967,-10043,10988,20951,2696
10144,-5511,-9816,11679,21263,4690
11227,-6084,-9577,12207,21015,6657
12495,-6667,-9285,12492,20952,8358
13596,-7174,-8933,12438,21675,9724
14323,-7591,-8614,12024,22784,10750
14681,-7964,-8372,11255,23783,11469
14634,-8292,-7977,10142,24411,12092
14396,-8635,-7471,8903,23743,12782
14261,-8958,-6905,7665,21930,13583
14213,-9433,-6253,6467,19350,14524
14171,-9923,-5628,5426,16446,15469
14159,-10328,-5036,4583,13539,16309
14166,-10678,-4501,3880,10815,17020
14248,-11148,-3931,3242,8363,17544
14336,-11638,-3408,2862,6369,17813
14395,-12108,-2952,2632,4942,17879
14317,-12456,-2621,2556,4070,17737
14111,-12638,-2389,2500,3522,17381
13805,-12769,-2242,2349,3011,16769
13564,-13127,-1955,1880,2293,16046
13179,-13534,-1551,1580,950,15236
12614,-13785,-1171,1529,-869,14415
12345,-13814,-1055,1741,-2919,13586
12750,-13776,-914,1913,-5250,12817
13622,-13657,-622,1968,-7364,12035
14391,-13624,-175,1819,-8650,10969
14823,-13734,197,1521,-8699,9482
14973,-13928,300,1189,-7587,7741
14891,-14154,111,822,-5995,5919
14624,-14448,-111,322,-4791,4092
14395,-14756,-367,-280,-4066,2250
14288,-15030,-763,-985,-3628,411
14261,-15288,-1323,-1833,-3272,-1420
14151,-15535,-2023,-2831,-2881,-3274
13975,-15752,-2802,-3961,-2460,-5067
13827,-15916,-3564,-5183,-1994,-6741
13666,-16009,-4310,-6439,-1439,-8277
13345,-16051,-5075,-7706,-863,-9685
12998,-16018,-5733,-8966,-524,-10900
12851,-15888,-6268,-10238,-354,-11890
12715,-15704,-6848,-11515,-74,-12686
12490,-15474,-7412,-12805,287,-13300
12324,-15176,-7933,-14077,622,-13697
12272,-14807,-8426,-15307,995,-13916
12155,-14372,-8928,-16464,1491,-13949
11911,-13885,-9441,-17554,2008,-13842
11601,-13373,-9870,-18588,2322,-13572
11317,-12845,-10139,-19519,2317,-13102
11025,-12316,-10293,-20322,2003,-12431
10597,-11793,-10410,-20941,1343,-11587
10082,-11258,-10451,-21302,185,-10529
9555,-10746,-10484,-21373,-1545,-9172
9231,-10371,-10426,-21290,-3789,-7469
9143,-10035,-10367,-20946,-6238,-5546
9101,-9701,-10429,-20197,-8557,-3573
8996,-9530,-10550,-19226,-10677,-1623
8945,-9536,-10729,-18045,-12636,222
