accX,accY,accZ,gyroX,gyroY,gyroZ
13072,-12347,-538,7363,5610,17748
12532,-12676,-358,7060,5479,17281
12017,-12974,-181,6717,5050,16752
11527,-13246,-23,6369,4442,16163
11068,-13484,124,6008,3759,15528
10639,-13698,274,5629,3035,14856
10241,-13878,417,5254,2284,14140
9918,-14017,546,4884,1534,13381
9666,-14142,692,4500,861,12570
9450,-14263,853,4116,363,11713
9237,-14370,1004,3745,65,10843
9011,-14435,1102,3397,-81,9972
8831,-14495,1187,3033,-189,9113
8669,-14556,1287,2669,-265,8255
8489,-14621,1397,2314,-269,7402
8296,-14681,1512,1961,-234,6582
8132,-14724,1595,1621,-252,5783
8052,-14754,1657,1295,-329,4976
8027,-14795,1739,952,-342,4154
7993,-14856,1807,589,-203,3303
7926,-14918,1820,229,-29,2413
7911,-14977,1787,-122,-9,1472
7996,-15044,1769,-498,-165,474
8172,-15128,1770,-893,-348,-570
8376,-15203,1739,-1277,-451,-1650
8597,-15249,1652,-1651,-481,-2764
8881,-15301,1576,-2059,-456,-3891
9217,-15367,1494,-2486,-320,-5019
9593,-15411,1384,-2909,-68,-6144
9980,-15440,1237,-3336,275,-7285
10348,-15453,1058,-3777,634,-8438
10687,-15444,860,-4242,866,-9591
11009,-15383,657,-4739,827,-10743
11325,-15250,437,-5253,464,-11883
11642,-15044,182,-5792,-206,-12974
11986,-14790,-102,-6416,-1186,-13959
12309,-14537,-402,-7119,-2495,-14897
12579,-14200,-795,-7816,-4094,-15798
12873,-13785,-1402,-8592,-5922,-16565
13333,-13436,-2184,-9655,-8002,-17160
13898,-13147,-2954,-11000,-10082,-17607
14539,-12697,-3577,-12437,-11573,-17875
14994,-11732,-3734,-13785,-11830,-17969
14034,-11419,-1458,-15684,-10153,-17954
13227,-12072,-1248,-16063,-6393,-18574
12516,-11486,-1496,-15045,-3823,-18324
12360,-10406,-1542,-13935,-3238,-17060
12182,-9368,-1670,-12700,-3338,-15680
12078,-8359,-1821,-11354,-3689,-14292
12061,-7286,-2318,-10048,-3668,-12778
12070,-6366,-2951,-8942,-3513,-11327
12203,-5596,-3461,-8107,-3483,-9928
12526,-4953,-3849,-7415,-3517,-8625
12929,-4335,-4239,-6692,-3464,-7493
13304,-3725,-4609,-5968,-3222,-6487
13610,-3150,-4978,-5283,-2818,-5623
13876,-2606,-5314,-4690,-2362,-4880
14125,-2128,-5559,-4245,-1951,-4266
14350,-1705,-5731,-3901,-1591,-3782
14516,-1338,-5910,-3607,-1276,-3423
14616,-1032,-6069,-3365,-1070,-3144
14740,-781,-6167,-3156,-999,-2891
14901,-569,-6226,-2951,-948,-2654
15016,-409,-6281,-2737,-789,-2454
15018,-259,-6392,-2490,-560,-2290
14971,-127,-6512,-2257,-433,-2137
14980,-7,-6580,-2055,-452,-1963
15015,97,-6606,-1870,-484,-1784
15024,187,-6607,-1678,-443,-1609
14993,264,-6592,-1470,-342,-1428
14934,334,-6530,-1250,-219,-1224
14846,364,-6363,-1033,-65,-977
14734,328,-6087,-779,152,-672
14602,244,-5781,-384,492,-303
14439,150,-5484,187,995,141
14231,32,-5165,858,1691,690
13995,-153,-4823,1554,2570,1391
13792,-429,-4542,2299,3539,2273
13609,-764,-4356,3135,4414,3271
13448,-1128,-4255,4016,5010,4322
13411,-1514,-4199,4883,5187,5441
13523,-1976,-3987,5621,4977,6587
13712,-2522,-3680,6335,4760,7702
13878,-3034,-3432,7172,4870,8788
13974,-3519,-3205,7973,5361,9914
14084,-4058,-3009,8612,6161,11125
14288,-4721,-2863,9036,7023,12450
14476,-5439,-2785,9289,7683,13678
14498,-6161,-2756,9427,7916,14587
14457,-6915,-2653,9330,7571,15326
14430,-7686,-2398,9086,6732,15985
14383,-8333,-2118,8872,5708,16586
14304,-8994,-1836,8767,4704,17076
14216,-9715,-1530,8642,3988,17483
14011,-10368,-1288,8545,3806,17833
13721,-10986,-1035,8320,4026,18137
13369,-11585,-799,7973,4390,18333
12934,-12104,-660,7592,4603,18320
12445,-12529,-559,7174,4429,18051
11990,-12889,-427,6696,3807,17539
11613,-13173,-233,6210,2863,16801
11245,-13385,-74,5757,1839,15856
10943,-13563,84,5280,843,14811
10748,-13711,262,4790,-34,13715
10603,-13831,462,4311,-686,12579
10437,-13936,658,3854,-1071,11408
10242,-14036,844,3421,-1261,10248
10039,-14137,1015,3014,-1339,9139
9843,-14211,1174,2649,-1362,8099
9660,-14272,1339,2321,-1356,7141
9488,-14318,1489,2035,-1313,6273
9324,-14347,1616,1791,-1234,5500
9153,-14373,1713,1576,-1114,4817
8989,-14397,1792,1379,-962,4223
8830,-14429,1859,1191,-790,3701
8660,-14481,1881,1014,-623,3230
8482,-14560,1863,839,-503,2791
8316,-14625,1809,666,-447,2362
8191,-14644,1737,486,-451,1925
8105,-14644,1693,265,-495,1449
8018,-14643,1653,12,-572,911
7982,-14644,1586,-262,-758,328
8112,-14648,1503,-545,-1035,-284
8406,-14667,1431,-837,-1225,-933
8758,-14701,1377,-1181,-1114,-1634
9074,-14739,1310,-1583,-698,-2385
9318,-14769,1195,-2014,-198,-3192
9537,-14775,1028,-2453,163,-4066
9851,-14774,868,-2948,250,-4974
10253,-14773,697,-3480,113,-5929
10667,-14764,488,-4044,-178,-6955
11043,-14727,258,-4672,-607,-7993
11375,-14631,20,-5347,-1153,-9001
11679,-14488,-254,-6032,-1820,-9987
11965,-14276,-578,-6723,-2588,-10898
12262,-13995,-869,-7481,-3373,-11645
12491,-13713,-1099,-8318,-4073,-12284
12626,-13418,-1321,-9136,-4647,-12794
12763,-13051,-1649,-9843,-5127,-13165
12985,-12673,-2146,-10459,-5574,-13447
13309,-12401,-2827,-11140,-6044,-13687
13713,-12240,-3568,-12000,-6700,-13862
14272,-11978,-4281,-13001,-7410,-13872
14891,-11539,-4898,-14115,-7767,-13812
15379,-10931,-5349,-15234,-7364,-13856
14796,-9719,-4211,-16502,-5904,-14058
13596,-10269,-2734,-17995,-2463,-14906
12531,-10435,-2741,-17684,1059,-15343
12207,-9761,-2714,-16632,2274,-14317
12253,-8781,-2716,-15229,2109,-12784
12295,-7723,-2912,-13440,1149,-11590
12339,-6797,-3167,-11735,-124,-10407
12602,-5973,-3645,-10315,-1167,-8980
12944,-5118,-4080,-9231,-1757,-7702
13259,-4369,-4407,-8370,-1851,-6657
13561,-3823,-4552,-7739,-1665,-5784
13892,-3387,-4607,-7153,-1383,-5041
14122,-2953,-4743,-6493,-1004,-4466
14237,-2496,-4942,-5853,-611,-3999
14327,-2067,-5115,-5318,-327,-3587
14463,-1701,-5274,-4883,-164,-3215
14614,-1400,-5440,-4500,-83,-2894
14712,-1127,-5568,-4146,-56,-2618
14774,-905,-5627,-3824,-78,-2370
14853,-720,-5681,-3500,-126,-2128
14941,-541,-5765,-3160,-181,-1898
15009,-380,-5841,-2848,-246,-1687
15046,-253,-5858,-2578,-327,-1485
15060,-143,-5849,-2319,-413,-1283
15068,-45,-5847,-2054,-506,-1076
15067,46,-5836,-1785,-611,-857
15028,107,-5787,-1520,-712,-625
14946,138,-5706,-1235,-812,-370
14837,130,-5560,-922,-914,-75
14739,66,-5352,-550,-940,252
14622,-53,-5159,-82,-799,652
14472,-201,-4977,527,-460,1122
14293,-348,-4819,1283,80,1651
14101,-520,-4692,2138,765,2229
13945,-735,-4537,2968,1474,2968
13842,-1017,-4354,3742,2181,3875
13781,-1351,-4197,4513,2912,4893
13746,-1704,-4065,5296,3680,5976
13705,-2087,-3884,6011,4519,7111
13721,-2636,-3646,6587,5485,8370
13748,-3289,-3422,7026,6544,9772
13722,-3962,-3230,7384,7522,11184
13669,-4670,-3005,7648,8259,12589
13712,-5456,-2723,7807,8739,14021
13743,-6355,-2428,7822,9006,15389
13624,-7317,-2194,7755,8944,16543
13472,-8270,-2000,7676,8237,17475
13452,-9212,-1720,7558,6830,18192
13516,-10065,-1430,7526,5104,18710
13595,-10836,-1115,7610,3451,19038
13522,-11452,-928,7767,2233,19159
13279,-11938,-757,7826,1459,19166
12952,-12407,-636,7724,978,19069
12719,-12799,-532,7533,530,18854
12524,-13082,-442,7300,112,18412
12286,-13311,-343,6974,-212,17713
12006,-13505,-225,6551,-501,16785
11696,-13677,-124,6089,-834,15664
11401,-13837,-16,5604,-1224,14433
11147,-13976,91,5123,-1592,13159
10948,-14080,207,4651,-1856,11906
10749,-14149,308,4201,-1936,10690
10506,-14194,383,3770,-1822,9536
10250,-14238,455,3343,-1600,8471
10010,-14290,540,2926,-1346,7497
9791,-14338,641,2531,-1103,6595
9580,-14386,748,2160,-876,5743
9366,-14433,847,1803,-672,4929
9160,-14477,943,1456,-505,4146
8971,-14526,1045,1113,-373,3391
8789,-14570,1143,778,-278,2668
8623,-14615,1225,455,-262,1986
8517,-14647,1254,164,-375,1324
8500,-14680,1250,-122,-614,651
8510,-14726,1245,-436,-899,-47
8554,-14777,1230,-778,-1198,-774
8699,-14828,1185,-1132,-1524,-1520
8935,-14859,1106,-1496,-1794,-2290
9208,-14865,989,-1885,-1866,-3088
9458,-14860,853,-2324,-1702,-3905
9688,-14849,705,-2805,-1404,-4710
9925,-14824,537,-3292,-1120,-5515
10161,-14760,335,-3760,-932,-6332
10401,-14654,115,-4234,-854,-7136
10652,-14523,-92,-4735,-864,-7905
10921,-14382,-277,-5257,-949,-8622
11181,-14228,-468,-5760,-1112,-9305
11408,-14027,-692,-6219,-1349,-9945
11607,-13771,-948,-6665,-1670,-10515
11800,-13499,-1241,-7139,-2095,-11008
12003,-13206,-1502,-7662,-2616,-11406
12245,-12894,-1746,-8220,-3136,-11683
12496,-12576,-2060,-8750,-3584,-11897
12815,-12260,-2594,-9188,-4041,-12120
13285,-11903,-3302,-9719,-4720,-12329
13824,-11571,-4067,-10522,-5588,-12535
14391,-11208,-4892,-11520,-6459,-12697
15070,-10723,-5591,-12727,-7165,-12776
15785,-10147,-5980,-14112,-7326,-12721
15322,-9119,-4043,-15750,-6278,-12598
14231,-9821,-2872,-16913,-2548,-13318
13374,-9920,-2774,-16534,983,-13954
13175,-9326,-2546,-15602,2237,-13176
13132,-8413,-2495,-14173,2368,-12015
13028,-7433,-2603,-12528,1721,-11148
12903,-6500,-2965,-10851,650,-10282
12965,-5608,-3556,-9318,-470,-9110
13262,-4689,-3997,-8310,-1308,-7819
13551,-4012,-4222,-7648,-1575,-6779
13720,-3487,-4381,-7011,-1411,-5966
13912,-3064,-4479,-6409,-1174,-5265
14075,-2686,-4620,-5787,-947,-4679
14223,-2294,-4806,-5180,-729,-4157
14378,-1927,-4989,-4658,-548,-3692
14567,-1591,-5162,-4226,-390,-3283
14754,-1305,-5302,-3881,-210,-2962
14874,-1043,-5425,-3573,-41,-2688
