,accX,accY,accZ,gyroX,gyroY,gyroZ
188,9164,-15471,-2243,4614,4536,14299
189,8772,-15560,-1922,4040,4036,13483
190,8366,-15684,-1641,3506,3498,12711
191,7975,-15764,-1401,3065,2902,11975
192,7602,-15832,-1206,2675,2307,11249
193,7251,-15898,-1032,2324,1732,10523
194,6908,-15942,-867,2009,1194,9790
195,6573,-15976,-693,1708,682,9061
196,6243,-16034,-518,1402,175,8347
197,5898,-16087,-373,1111,-339,7630
198,5560,-16103,-245,850,-870,6923
199,5283,-16100,-114,602,-1397,6250
200,5085,-16108,33,361,-1848,5629
201,4924,-16134,198,134,-2145,5061
202,4766,-16167,357,-67,-2292,4528
203,4607,-16198,478,-235,-2351,4012
204,4439,-16226,530,-366,-2367,3487
205,4274,-16256,533,-470,-2431,2926
206,4155,-16296,504,-571,-2669,2310
207,4124,-16323,436,-682,-3126,1660
208,4203,-16340,306,-827,-3765,1003
209,4315,-16337,144,-1018,-4480,349
210,4403,-16301,-79,-1256,-5213,-303
211,4535,-16272,-356,-1574,-6010,-948
212,4727,-16262,-692,-1964,-6825,-1570
213,4901,-16251,-1111,-2426,-7615,-2137
214,5040,-16242,-1506,-2943,-8381,-2684
215,5174,-16231,-1870,-3529,-9100,-3220
216,5343,-16235,-2285,-4198,-9756,-3744
217,5475,-16249,-2786,-4937,-10369,-4249
218,5451,-16231,-3395,-5734,-11057,-4750
219,5363,-16205,-4007,-6652,-12077,-5248
220,5456,-16212,-4659,-7732,-13440,-5677
221,5643,-16238,-5426,-8929,-14877,-6005
222,5708,-16240,-6261,-10203,-16188,-6288
223,5679,-16169,-7168,-11529,-17457,-6573
224,5611,-16039,-8197,-12881,-18838,-6869
225,5396,-15768,-9382,-14186,-20231,-7121
226,5138,-15381,-10564,-15469,-21484,-7209
227,4891,-14869,-11801,-16666,-22613,-7004
228,4534,-14306,-13012,-17747,-23628,-6483
229,4244,-13786,-13884,-18765,-24542,-5579
230,4078,-13141,-14435,-19621,-24978,-4319
231,3667,-12445,-14900,-20360,-24277,-2968
232,2955,-11850,-15285,-21081,-22699,-1624
233,2184,-11409,-15591,-21813,-20697,-249
234,1803,-11002,-15755,-22508,-18642,1155
235,3786,-12102,-13774,-22400,-15386,1964
236,3056,-12540,-13391,-21672,-10822,2279
237,2032,-12290,-13987,-20457,-8110,2111
238,2473,-11067,-13843,-18978,-7026,2329
239,2112,-9888,-13622,-17752,-6255,2424
240,1522,-8743,-13362,-16394,-5472,2197
241,1295,-7674,-13326,-14989,-5233,2118
242,1188,-6896,-13316,-13737,-5528,1964
243,1055,-6113,-13416,-12419,-5878,1698
244,858,-5394,-13531,-11220,-6111,1441
245,690,-4776,-13601,-10129,-6141,1266
246,578,-4248,-13664,-9068,-5885,1115
247,581,-3793,-13735,-7998,-5346,956
248,828,-3417,-13758,-6881,-4510,738
249,1279,-3146,-13759,-5663,-3022,398
250,1794,-3087,-13617,-4319,-810,-9
251,2206,-3167,-13427,-2711,2206,-522
252,2441,-3322,-13185,-849,5262,-1025
253,2524,-3507,-12893,1198,8012,-1352
254,2559,-3717,-12587,3312,10488,-1355
255,2639,-3986,-12457,5421,12716,-956
256,2956,-4400,-12591,7395,14721,-71
257,3505,-4976,-12597,9091,16526,1311
258,4049,-5490,-12446,10616,18150,2964
259,4610,-5918,-12187,11876,19611,4711
260,5188,-6357,-11851,12769,20927,6489
261,5927,-7010,-11489,13137,22111,8393
262,6758,-7941,-11040,13031,23177,10425
263,7379,-8902,-10533,12606,24096,12327
264,7755,-9728,-9988,11932,24265,13849
265,7938,-10473,-9414,11068,23381,14876
266,8144,-11197,-8782,10121,21590,15547
267,8483,-11795,-8105,9248,19418,16031
268,8760,-12301,-7407,8502,17436,16381
269,8855,-12705,-6731,7874,15820,16670
270,8787,-12996,-6177,7286,14382,16829
271,8584,-13317,-5785,6475,12372,16678
272,8403,-13802,-5463,5437,8929,16216
273,8475,-14213,-5238,4494,4759,15625
274,8860,-14610,-5080,3752,1007,14941
275,9293,-14961,-4883,3397,-2370,14078
276,9605,-15244,-4635,3438,-4797,13122
277,9743,-15471,-4386,3780,-5691,12206
278,9722,-15651,-4079,4232,-5330,11431
279,9512,-15765,-3723,4655,-3976,10830
280,9067,-15823,-3350,4940,-1962,10344
281,8474,-15903,-3050,5025,184,9869
282,7791,-15977,-2771,4958,2022,9345
283,7106,-16059,-2536,4815,3400,8814
284,6490,-16106,-2323,4656,4315,8299
285,5887,-16100,-2090,4483,4829,7755
286,5365,-16075,-1871,4279,4960,7183
287,4944,-16040,-1667,4034,4729,6554
288,4542,-15999,-1489,3711,4165,5878
289,4193,-15976,-1359,3285,3245,5176
290,4023,-15987,-1255,2752,1966,4463
291,4012,-16000,-1254,2148,496,3735
292,4118,-15998,-1429,1486,-1073,2944
293,4345,-15983,-1699,710,-2802,2011
294,4639,-16026,-2032,-248,-4685,878
295,5039,-16154,-2437,-1426,-6763,-420
296,5473,-16362,-2894,-2829,-9051,-1777
297,5869,-16597,-3417,-4378,-11371,-3130
298,6244,-16821,-3955,-5995,-13511,-4397
299,6604,-16978,-4486,-7572,-15436,-5488
300,6847,-17031,-5164,-9036,-16990,-6368
301,7013,-17034,-5814,-10429,-18161,-7040
302,7069,-16967,-6474,-11778,-18977,-7493
303,6996,-16816,-7209,-13070,-19566,-7782
304,6860,-16607,-7942,-14269,-20072,-7955
305,6665,-16325,-8705,-15344,-20487,-7976
