Mean-accX,Range-accX,Var-accX,Median-accX,Mean-accY,Range-accY,Var-accY,Median-accY,Mean-accZ,Range-accZ,Var-accZ,Median-accZ,Mean-gyroX,Range-gyroX,Var-gyroX,Median-gyroX,Mean-gyroY,Range-gyroY,Var-gyroY,Median-gyroY,Mean-gyroZ,Range-gyroZ,Var-gyroZ,Median-gyroZ,label
8745.702703,5579,2676064.215,9358,-9800.324324,11214,14729216.67,-10052,-6322.378378,5721,2921727.742,-7046,-6257.459459,20935,47024688.42,-3237,175.5405405,2914,754068.033,326,1646.081081,23014,52591805.41,4947,2
8448.162162,6348,3285406.362,9245,-9620.405405,11083,15422046.14,-9787,-6216.540541,7051,4661036.366,-7259,-5893.189189,22426,54353174.55,-2566,279.3243243,3872,1061729.503,491,2259.621622,21595,51686335.69,5112,2
9006.756757,7237,4227866.911,9808,-10182.48649,10892,14249789.53,-10402,-4984.189189,5975,3612893.658,-5923,-6592.621622,18413,35400032.02,-3945,829.6756757,2937,718689.3919,836,2391.648649,22927,56955733.57,5186,2
8677.72973,5470,2443741.869,9307,-9197.648649,11227,15026389.46,-9396,-6291.891892,5671,2733853.155,-7055,-5672.756757,19205,46074949.19,-1902,-295.2432432,3016,779345.0225,-689,1278.702703,19139,45898133.77,5050,2
8593.783784,6134,2924647.896,9128,-9434.513514,11246,15858199.98,-9388,-5994.891892,6091,3538033.655,-6602,-6686.594595,20120,42874555.97,-3723,432.9459459,3800,1179159.275,323,1750.810811,23480,57911557.77,5171,2
8831.702703,7770,4747990.937,9478,-9611.108108,11374,15702472.54,-9822,-5130.594595,6572,4764395.359,-6383,-7073.513514,19374,37919343.59,-4319,1055.405405,7387,3755809.692,1264,3338.918919,22222,54097997.24,5709,2
9266.027027,6276,3471750.305,9999,-9333.162162,10446,14081585.25,-9230,-5644.702703,5717,2726892.048,-6392,-6339.756757,21131,46765902.36,-2916,315.8378378,4893,2509905.973,1088,1522.891892,22908,51786927.1,3469,2
8493.567568,6321,3305529.141,9352,-9772.378378,11328,15538816.19,-10066,-6023.27027,6744,4428731.092,-6829,-5739.594595,19665,36935994.19,-3546,117.972973,4402,1485677.083,52,2316.648649,19859,39422548.68,4790,2
9086.783784,5688,2805261.508,9719,-9783.324324,10337,12905671.67,-9824,-5907.162162,6630,3747556.306,-6703,-6501.432432,19110,39932192.42,-3640,599.0810811,6869,3926445.577,810,2016.621622,19866,44458014.74,4096,2
8398.189189,6718,3777016.102,9252,-10958.78378,9727,11921547.79,-11468,-5317.513514,6833,4509011.09,-6229,-5972.081081,18721,34426579.69,-3736,350.6756757,4594,1884814.447,-172,2496.243243,20564,43074441.19,4440,2
8434.702703,6926,4119108.326,9145,-10800.64865,9871,11643305.35,-10972,-5758.540541,6750,4668475.533,-6709,-5728.189189,20111,39816791.99,-3664,-171.2162162,3715,922956.3964,15,2250.27027,20660,41019774.87,3951,2
