Mean-accX,Range-accX,Var-accX,Median-accX,Masd-accX,Mean-accY,Range-accY,Var-accY,Median-accY,Masd-accY,Mean-accZ,Range-accZ,Var-accZ,Median-accZ,Masd-accZ,Mean-gyroX,Range-gyroX,Var-gyroX,Median-gyroX,Masd-gyroX,Mean-gyroY,Range-gyroY,Var-gyroY,Median-gyroY,Masd-gyroY,Mean-gyroZ,Range-gyroZ,Var-gyroZ,Median-gyroZ,Masd-gyroZ,label
7147.405405405405,6882,4254805.96996997,7010,816,-1695.3513513513512,20667,30296157.62312312,1046,768,5054.189189189189,11845,15405133.102102103,5421,683,-3415.945945945946,30219,107999651.71921922,-9548,1247,-9630.18918918919,11999,12617404.157657657,-9443,760,-3528.6486486486488,31137,88476437.2897898,865,1198,1
8273.864864864865,7289,6233362.064564564,7084,659,-3435.7837837837837,18563,30191392.063063063,-985,605,4852.054054054054,11598,17513327.163663663,6856,663,-6819.4324324324325,29795,106415906.6966967,-11339,1125,-10435.432432432432,8968,8652456.363363363,-10280,1252,-3440.6486486486488,32742,117185016.34534533,1092,2127,1
6982.243243243243,8677,9399575.355855856,5629,597,-2164.054054054054,19114,31054595.163663667,223,617,5633.864864864865,10247,15413357.342342343,6218,1161,-6641.675675675676,29465,106098234.33633634,-11416,994,-8592.702702702703,8846,7444654.048048048,-9486,2102,-5508.648648648648,29535,89127917.67867868,-461,1102,1
6046.027027027027,6591,4674724.74924925,5242,802,-2202.7567567567567,18843,26895720.3003003,-405,410,7488.108108108108,11164,15227044.043543544,9005,983,-2360.945945945946,33834,158599634.6081081,-8952,832,-10257,16563,26752564.333333332,-8871,2562,-1778.8918918918919,25739,62050712.876876876,1896,1435,1
7773.216216216216,8578,7903094.007507508,6669,724,-1133.1891891891892,19957,27377806.046546545,612,804,5857,12973,16825739.5,5833,717,-3020.675675675676,29607,110922005.55855857,-9094,936,-6431.405405405405,12630,11525909.914414415,-6252,3134,-5064.945945945946,31108,88076345.1081081,49,1223,1
8126.4324324324325,8579,8414413.752252253,6658,1073,-2539.9189189189187,18049,29643213.13213213,-749,562,3920.0810810810813,11241,21678044.02102102,5382,735,-8011.891891891892,24695,77359370.82132132,-12554,1496,-7953.891891891892,9104,5167815.654654655,-7601,1273,-5027.918918918919,34856,129281026.24324325,482,1254,1
8533.054054054053,7339,6269032.385885886,7118,537,-4113.378378378378,17289,28536379.13063063,-1486,456,3488.7837837837837,11281,19737504.507507507,6394,601,-9881.702702702703,22435,55357834.881381385,-13239,954,-8931.837837837838,11054,6600874.306306306,-9301,1614,-3269.027027027027,34238,130278584.13813815,1472,2376,1
8908.351351351352,10043,11548068.123123122,7477,554,-3629.7027027027025,15259,20584213.77027027,-1689,667,3350.9189189189187,13020,28310624.576576576,5824,585,-10292.27027027027,19570,48086282.980480485,-14129,1062,-7561.675675675676,8824,3527827.336336336,-7515,1722,-4868.72972972973,32872,126760814.36936937,148,1446,1
7152.72972972973,9725,8172507.424924925,6054,1095,-3157.5135135135133,17249,26214591.756756756,-98,1188,5219.378378378378,12189,17448333.241741743,7337,770,-4515.189189189189,27653,96651866.1021021,-8665,1434,-7490.945945945946,11354,8571644.885885887,-7131,2422,-3690,34028,117501223.16666667,1112,1899,1
8625.783783783783,9365,9912800.174174175,7199,1180,-3463.6216216216217,18444,31361795.852852855,-1844,524,5709.4324324324325,7444,4639224.196696697,6011,580,-3557.7837837837837,26558,96875531.61861862,-8665,869,-9903.27027027027,10573,8464139.869369369,-9138,2336,323.4594594594595,33515,117926861.97747748,3818,1906,1
7228.783783783784,10739,9484067.72972973,5817,863,-2602.108108108108,16779,27356972.265765764,-6,644,5225.7027027027025,11795,16858041.492492493,7114,571,-6765.243243243243,28564,100917001.96696697,-11139,925,-7457.486486486487,10676,8683470.812312312,-7801,1811,-1887.1891891891892,32414,118626911.65765765,2858,1604,1
