,accX,accY,accZ,gyroX,gyroY,gyroZ
410,7713,5971,14184,5667,-8314,-10157
411,7873,6288,13725,6030,-8584,-11623
412,8007,6506,13332,6350,-8671,-13095
413,7997,6745,12887,6727,-8461,-14527
414,7808,6997,12356,7138,-8067,-15931
415,7488,7287,11792,7572,-7642,-17299
416,7058,7610,11260,7990,-7226,-18590
417,6539,7921,10735,8380,-6784,-19780
418,5954,8200,10179,8738,-6321,-20860
419,5296,8475,9594,9039,-5868,-21852
420,4644,8710,9043,9228,-5450,-22771
421,4030,8880,8537,9283,-5008,-23608
422,3439,8963,8027,9238,-4467,-24406
423,2824,8986,7473,9087,-3778,-25160
424,2114,8933,6871,8833,-2977,-25888
425,1251,8762,6229,8498,-2187,-26576
426,332,8510,5646,8118,-1547,-27195
427,-667,8171,5090,7674,-935,-27752
428,-1686,7669,4550,7135,-174,-28254
429,-2800,7022,4070,6535,941,-28705
430,-4225,6256,3546,5919,2522,-29111
431,-6238,5474,2955,5360,4365,-29404
432,-8891,4652,2085,4886,5999,-29090
433,-11278,3799,1147,4474,6755,-27911
434,-12929,3224,617,4019,6647,-25679
435,-13916,3025,282,3331,6216,-22834
436,-14409,3058,2,2534,5431,-19947
437,-14574,3176,-275,1748,4270,-17322
438,-14544,3300,-488,1060,2919,-15031
439,-14294,3443,-541,469,1659,-13097
440,-13946,3599,-434,-55,875,-11542
441,-13607,3712,-289,-525,776,-10294
442,-13388,3771,-212,-944,1332,-9306
443,-13528,3779,-282,-1344,2304,-8517
444,-13998,3720,-444,-1694,3134,-7838
445,-14461,3653,-583,-1935,3362,-7165
446,-14769,3601,-657,-2082,3068,-6474
447,-14984,3565,-677,-2167,2581,-5749
448,-15156,3556,-678,-2189,2098,-4987
449,-15280,3589,-700,-2150,1689,-4197
450,-15352,3652,-738,-2071,1366,-3420
451,-15390,3725,-777,-1981,1104,-2694
452,-15401,3796,-805,-1903,871,-2037
453,-15389,3872,-826,-1845,666,-1439
454,-15373,3966,-849,-1804,504,-889
455,-15388,4048,-868,-1781,388,-374
456,-15451,4118,-880,-1770,326,140
457,-15561,4189,-898,-1762,324,695
458,-15750,4266,-952,-1751,376,1322
459,-16058,4343,-1081,-1744,429,2062
460,-16452,4418,-1251,-1754,382,2956
461,-16801,4517,-1411,-1795,162,4033
462,-17046,4649,-1532,-1884,-240,5282
463,-17199,4803,-1634,-2041,-756,6685
464,-17294,4977,-1752,-2273,-1331,8236
465,-17307,5171,-1907,-2591,-1944,9927
466,-17189,5395,-2076,-3036,-2576,11747
467,-16904,5616,-2242,-3631,-3214,13675
468,-16461,5800,-2367,-4392,-3840,15584
469,-15818,5936,-2428,-5320,-4465,17302
470,-14912,5986,-2346,-6397,-5080,18849
471,-13763,5954,-2159,-7584,-5616,20241
472,-12447,5808,-1778,-8835,-6025,21493
473,-11024,5461,-1253,-10084,-6170,22621
474,-9538,5113,-583,-11277,-5853,23635
475,-7990,4885,131,-12373,-4864,24548
476,-6466,4729,880,-13429,-3253,25370
477,-4971,4529,1785,-14503,-1206,26110
478,-3616,4261,2904,-15506,1120,26776
479,-2688,3940,4042,-16299,3583,27375
480,-2117,3615,5226,-16819,5733,27790
481,-1674,3406,6510,-17011,7070,27755
482,-1148,3305,7931,-16892,7376,27241
483,-421,3259,9415,-16467,6821,26263
484,502,3215,10840,-15788,5804,24912
485,1592,3170,12151,-14932,4703,23322
486,2712,3145,13298,-13961,3843,21607
487,3658,3135,14234,-12929,3373,19850
488,4363,3137,14977,-11858,3149,18090
489,4853,3160,15554,-10753,2958,16345
490,5186,3200,15960,-9610,2675,14621
491,5421,3243,16208,-8440,2244,12916
492,5562,3286,16321,-7255,1657,11243
493,5669,3359,16347,-6065,880,9602
494,5832,3447,16334,-4884,-96,7967
495,6053,3562,16256,-3721,-1179,6317
496,6313,3712,16106,-2607,-2268,4649
497,6624,3905,15917,-1554,-3315,2968
498,6988,4129,15738,-580,-4286,1272
499,7359,4373,15565,308,-5096,-438
500,7673,4632,15342,1120,-5656,-2140
501,7916,4919,15049,1880,-5995,-3812
502,8121,5259,14730,2602,-6232,-5463
503,8317,5605,14455,3263,-6408,-7101
504,8459,5924,14222,3882,-6421,-8710
505,8478,6220,13916,4509,-6175,-10262
506,8364,6616,13514,5174,-5768,-11734
507,8157,7032,13077,5801,-5357,-13155
508,7895,7379,12663,6364,-4977,-14531
509,7561,7691,12263,6906,-4566,-15858
510,7137,7985,11817,7445,-4046,-17120
511,6621,8240,11307,7973,-3412,-18301
512,6002,8470,10758,8484,-2712,-19417
513,5339,8593,10240,8942,-2020,-20489
514,4627,8631,9711,9370,-1330,-21482
515,3862,8644,9115,9801,-685,-22411
516,3036,8625,8454,10191,-187,-23304
517,2106,8565,7744,10482,87,-24162
518,1121,8451,7018,10659,70,-24992
519,157,8284,6340,10695,-162,-25769
520,-762,8032,5738,10568,-375,-26469
521,-1639,7729,5249,10282,-333,-27099
522,-2618,7254,4692,9792,264,-27666
523,-3821,6610,4069,9178,1402,-28176
524,-5375,5884,3319,8542,2845,-28533
525,-7171,5173,2536,7912,4117,-28449
526,-9131,4538,1839,7237,4966,-27813
527,-11107,4029,1182,6595,5247,-26505
528,-12582,3645,734,6068,4877,-24685
529,-13514,3435,446,5502,4313,-22439
530,-14050,3381,217,4839,3833,-20039
531,-14364,3469,6,4163,3405,-17725
532,-14542,3582,-211,3511,2930,-15685
533,-14603,3677,-342,2895,2398,-13954
534,-14549,3747,-385,2331,1963,-12481
535,-14473,3781,-396,1825,1749,-11254
536,-14445,3758,-399,1374,1722,-10220
537,-14503,3679,-405,987,1786,-9322
538,-14664,3570,-421,669,1816,-8505
539,-14832,3445,-444,433,1710,-7730
540,-14996,3334,-489,263,1524,-6964
541,-15183,3242,-549,144,1327,-6180
542,-15368,3179,-619,64,1136,-5357
543,-15499,3152,-697,17,943,-4507
544,-15576,3165,-779,-17,757,-3665
545,-15610,3219,-845,-56,578,-2858
546,-15630,3295,-885,-110,404,-2107
547,-15665,3377,-916,-184,264,-1410
548,-15714,3479,-961,-273,182,-753
549,-15768,3589,-992,-372,146,-124
550,-15893,3679,-1019,-488,172,506
551,-16107,3755,-1072,-619,248,1202
552,-16317,3843,-1152,-753,287,1995
553,-16485,3943,-1232,-900,213,2881
554,-16659,4065,-1312,-1069,-6,3858
555,-16859,4194,-1409,-1268,-406,4929
556,-17011,4332,-1526,-1499,-1002,6101
557,-17017,4485,-1589,-1787,-1744,7359
558,-16894,4661,-1574,-2142,-2492,8677
559,-16716,4860,-1511,-2572,-3108,10060
560,-16485,5071,-1443,-3076,-3549,11520
561,-16141,5281,-1376,-3662,-3853,13042
562,-15655,5477,-1290,-4316,-4070,14594
563,-15052,5672,-1197,-5015,-4213,16159
564,-14326,5864,-1084,-5749,-4340,17706
565,-13444,6034,-919,-6497,-4493,19185
566,-12441,6159,-729,-7275,-4637,20544
567,-11391,6278,-524,-8106,-4719,21766
568,-10320,6377,-277,-8982,-4725,22866
569,-9180,6454,117,-9881,-4617,23856
570,-7996,6398,656,-10804,-4266,24747
571,-6898,6361,1183,-11677,-3586,25549
572,-5923,6327,1726,-12541,-2743,26271
573,-5005,6218,2366,-13430,-1906,26921
574,-3993,5979,3150,-14281,-1132,27505
575,-2783,5620,4106,-15029,-457,28031
576,-1530,5159,5320,-15631,219,28505
577,-455,4676,6674,-16024,1121,28931
578,368,4217,7945,-16154,2076,29313
579,1185,3867,9206,-16003,2526,29263
580,2284,3681,10551,-15539,2286,28619
581,3462,3546,11816,-14812,1796,27309
582,4523,3353,12852,-13975,1481,25510
583,5429,3186,13644,-13029,1284,23486
584,6229,3079,14284,-11985,999,21422
585,6969,3037,14849,-10896,604,19404
586,7625,3038,15342,-9816,293,17455
587,8087,3031,15679,-8779,248,15593
588,8317,3033,15850,-7768,357,13815
589,8451,3055,15937,-6765,345,12113
590,8584,3094,15992,-5763,102,10447
591,8730,3136,16010,-4779,-253,8800
592,8862,3185,15986,-3838,-574,7176
593,8938,3258,15910,-2942,-817,5589
594,8984,3369,15804,-2080,-1079,4052
595,9015,3513,15680,-1237,-1424,2547
596,9035,3674,15513,-412,-1844,1060
597,9098,3858,15294,392,-2347,-414
598,9220,4077,15048,1169,-2949,-1887
599,9374,4329,14794,1898,-3600,-3374
600,9549,4625,14533,2561,-4216,-4883
601,9745,4951,14275,3156,-4711,-6410
602,9921,5276,14019,3690,-4995,-7945
603,10017,5597,13735,4168,-5010,-9481
604,10004,5931,13422,4599,-4770,-10992
605,9865,6267,13115,4997,-4331,-12470
606,9600,6590,12803,5393,-3774,-13899
607,9200,6908,12476,5813,-3185,-15260
608,8646,7224,12076,6282,-2628,-16535
609,7988,7577,11653,6776,-2204,-17720
610,7303,7887,11235,7258,-1963,-18820
611,6616,8181,10839,7730,-1847,-19829
612,5923,8433,10444,8161,-1764,-20767
613,5196,8625,10032,8534,-1625,-21651
614,4415,8745,9576,8850,-1380,-22477
615,3614,8803,9080,9123,-1072,-23244
616,2821,8787,8553,9352,-765,-23976
617,2049,8702,7978,9523,-510,-24690
618,1290,8552,7350,9623,-357,-25416
619,459,8339,6689,9604,-316,-26151
620,-510,8053,6053,9413,-377,-26813
621,-1430,7688,5574,9049,-457,-27408
622,-2330,7131,5073,8497,-128,-27944
623,-3355,6445,4580,7816,824,-28426
624,-4686,5639,4005,7069,2354,-28860
625,-6386,4830,3296,6327,4090,-28900
626,-8362,4076,2523,5604,5536,-28438
627,-10502,3443,1733,4936,6393,-27343
628,-12368,2874,1084,4307,6436,-25595
629,-13641,2529,710,3678,5845,-23242
630,-14396,2410,532,2967,5057,-20565
631,-14742,2473,397,2295,4255,-17881
632,-14793,2681,300,1734,3447,-15430
633,-14704,2935,242,1272,2699,-13320
634,-14546,3167,222,865,2115,-11599
635,-14358,3349,236,503,1792,-10244
636,-14193,3445,261,188,1738,-9192
637,-14062,3467,282,-69,1863,-8368
638,-14031,3433,275,-277,2087,-7733
639,-14155,3359,229,-440,2287,-7218
640,-14368,3253,160,-538,2300,-6748
641,-14578,3132,93,-576,2087,-6279
642,-14740,3016,50,-578,1760,-5789
