accX,accY,accZ,gyroX,gyroY,gyroZ
-8386,8366,-384,22804,8881,-9736
-8546,7667,-1361,22179,8264,-9761
-8649,7029,-2165,21532,7116,-9639
-8611,6425,-2678,20765,5485,-9338
-8587,5837,-3081,19935,3902,-8945
-8592,5310,-3365,19117,2644,-8503
-8711,4839,-3672,18405,1711,-8071
-8910,4457,-4020,17770,1018,-7622
-9228,4054,-4413,17110,520,-7127
-9831,3616,-4950,16487,249,-6595
-10488,3249,-5510,15929,-2,-5955
-10915,3004,-5919,15318,-358,-5118
-11284,2755,-6313,14568,-519,-4171
-11727,2534,-6816,13740,-426,-3199
-12161,2332,-7439,12865,-373,-2183
-12571,2036,-8228,11883,-496,-1094
-13004,1591,-9203,10695,-722,80
-13571,902,-10472,9203,-978,1374
-14130,-74,-11941,7257,-1302,2926
-14469,-1394,-13354,4655,-1754,4924
-14622,-2973,-14779,1369,-2455,7442
-14373,-4647,-16114,-2043,-3708,9975
-13500,-6261,-16970,-5116,-5479,12254
-12139,-7668,-17212,-7881,-7150,14305
-10265,-8910,-16814,-10369,-8104,16151
-8125,-10536,-15580,-12609,-8160,17813
-6436,-12759,-13974,-14625,-7128,19308
-5026,-14760,-11825,-16439,-5721,20654
-4115,-16561,-8916,-18072,-4884,21865
-3436,-18181,-5208,-19541,-4305,22548
-2734,-19640,-1410,-20864,-3014,23032
-2429,-20379,2007,-22054,-816,22801
-2548,-20263,5083,-23126,1311,21628
-2872,-19827,7851,-23015,3134,19779
-3376,-19190,10343,-22139,5150,17640
-4390,-18464,12287,-20855,7586,15509
-5908,-17695,13596,-19400,9642,13542
-7453,-16867,14412,-17866,10332,11880
-8427,-16088,15105,-16325,9520,10633
-9008,-15406,15649,-14750,8123,9666
-9295,-14767,16038,-13109,6772,8860
-9454,-14155,16204,-11429,5625,8154
-9470,-13540,16209,-9752,4556,7516
-9336,-12928,16024,-8118,3598,6911
-9142,-12335,15670,-6586,2737,6338
-8883,-11727,15257,-5175,1896,5786
-8578,-11121,14817,-3948,1197,5298
-8288,-10567,14372,-2915,663,4854
-7992,-10058,13897,-2031,222,4436
-7643,-9594,13428,-1268,-210,4028
-7319,-9160,13043,-584,-638,3575
-7014,-8767,12762,42,-1015,3079
-6774,-8450,12514,645,-1361,2578
-6602,-8148,12362,1254,-1739,2107
-6402,-7873,12443,1846,-2143,1694
-6209,-7634,12755,2447,-2415,1318
-6060,-7479,13320,3073,-2463,981
-6013,-7428,14079,3799,-2284,691
-5992,-7275,14912,4716,-1990,469
-5915,-6951,15924,5791,-1691,305
-5799,-6779,17214,6933,-1190,183
-5831,-6582,18393,8315,-116,101
-6020,-6048,19240,9996,1467,36
-6420,-5296,19738,11872,3290,-170
-7075,-4542,19959,13651,5244,-373
-7774,-3714,19765,15329,7178,-173
-8366,-2819,19216,16948,8829,229
-8979,-1915,18309,18530,10113,644
-9430,-1148,17278,19904,10950,1349
-9631,-517,16141,21092,11281,2291
-9641,107,14903,22230,11134,3305
-9454,685,13602,23278,10593,4278
-9108,1306,12202,24227,9740,5109
-8601,2019,10825,25081,8694,5658
-7959,2658,9606,25743,7704,5791
-7333,3220,8435,26098,7186,5562
-6859,3843,7184,26240,7160,5073
-6543,4291,5883,26160,6892,4100
-6342,4887,4838,26127,6118,2563
-6153,5400,3898,25883,5738,1199
-6075,5725,2974,25372,5920,260
-6094,5993,2032,24830,6250,-400
-6062,6175,1120,24324,6304,-897
-6062,6313,212,23968,5910,-1384
-6135,6399,-730,23750,5095,-1938
-6210,6402,-1681,23547,3872,-2551
-6305,6360,-2616,23266,2437,-3205
-6529,6272,-3448,22768,1275,-3926
-7105,5930,-4276,21971,733,-4724
-8017,5524,-5360,21069,475,-5467
-8871,5157,-6333,20040,-55,-5930
-9526,4803,-6924,18806,-713,-6071
-9969,4546,-7166,17498,-1198,-5976
-10226,4340,-7200,16198,-1452,-5718
-10410,4175,-7159,15014,-1401,-5379
-10675,3967,-7217,13993,-1015,-5014
-11101,3712,-7482,13152,-410,-4592
-11627,3364,-7993,12431,175,-4021
-12138,2926,-8813,11754,560,-3219
-12610,2470,-9900,11045,686,-2192
-13069,1966,-11205,10181,549,-940
-13414,1406,-12672,9091,59,596
-13495,687,-14157,7648,-851,2495
-13393,-208,-15753,5822,-2079,4728
-13037,-1255,-17384,3554,-3608,7204
-12416,-2485,-18922,687,-5347,9760
-11502,-4003,-20208,-2657,-7260,12061
-10311,-5642,-20971,-5668,-9084,14132
-8683,-7196,-20945,-8378,-10634,15995
-6751,-8805,-19971,-10817,-11234,17672
-4862,-10992,-18785,-13012,-10738,19182
-3316,-13169,-17743,-14987,-10023,20540
-2147,-15129,-14997,-16765,-10623,21763
-1143,-16893,-10804,-18365,-10865,22863
-125,-18480,-6447,-19806,-9156,23854
912,-19851,-2525,-21102,-6643,24603
913,-19983,1003,-22146,-3698,23921
