accX,accY,accZ,gyroX,gyroY,gyroZ
1882,10258,5390,-10805,-1177,17818
2882,8735,5470,-11294,-2299,18400
4606,7239,5891,-11578,-3088,18694
6328,6333,6443,-11393,-2592,18640
7263,5683,6890,-11063,-827,18064
7547,5285,7317,-10565,1068,17111
7591,5094,7713,-9946,2146,15888
7719,5051,8141,-9270,2177,14500
8084,5087,8688,-8593,1505,13090
8595,5174,9324,-7947,676,11735
9089,5345,9932,-7324,116,10464
9463,5486,10461,-6779,-43,9291
9673,5555,10894,-6303,100,8212
9780,5610,11227,-5841,324,7215
9896,5663,11495,-5377,442,6280
10033,5687,11742,-4921,470,5393
10148,5687,11981,-4461,514,4549
10196,5672,12189,-3987,607,3738
10179,5627,12341,-3488,691,2959
10142,5571,12414,-2945,662,2196
10143,5512,12446,-2373,463,1426
10176,5414,12470,-1801,150,626
10226,5282,12485,-1218,-197,-225
10307,5135,12433,-613,-520,-1135
10405,4993,12270,-7,-770,-2098
10478,4935,11969,565,-900,-3095
10528,4955,11719,1048,-918,-4099
10552,4923,11618,1453,-828,-5102
10495,4914,11602,1888,-656,-6082
10317,5075,11530,2423,-458,-7023
10010,5369,11390,2973,-344,-7898
9668,5760,11217,3489,-397,-8697
9383,6169,11084,3929,-611,-9416
9101,6708,10935,4322,-791,-10034
8788,7348,10699,4650,-798,-10552
8433,7939,10471,4839,-652,-10981
7980,8418,10242,4919,-312,-11319
7437,8826,9919,4972,198,-11503
6974,9323,9504,5035,746,-11524
6639,9810,9136,5023,1322,-11475
6285,10132,8862,4913,2064,-11373
5834,10280,8681,4860,2890,-11217
5301,10383,8517,4989,3560,-11025
4770,10558,8294,5339,3916,-10805
4286,10762,8007,5801,3965,-10555
3852,10991,7642,6314,3856,-10253
3408,11317,7193,6834,3756,-9885
2861,11747,6629,7289,3804,-9455
2180,12259,6013,7594,3962,-8954
1304,12858,5332,7736,4098,-8416
475,13443,4697,7688,4139,-7795
-339,14047,4074,7475,4265,-7073
-1287,14600,3541,7060,4505,-6343
-2270,14951,3144,6402,4699,-5562
-3118,15196,2811,5688,4678,-4736
-3682,15455,2548,4991,4347,-3873
-3956,15666,2479,4263,3774,-3016
-4082,15805,2502,3566,3135,-2247
-4065,15950,2575,2975,2424,-1588
-3878,16110,2688,2496,1656,-1062
-3569,16268,2863,2098,953,-686
-3280,16382,3061,1758,451,-479
-3066,16486,3234,1500,169,-417
-2921,16591,3343,1317,42,-453
-2827,16678,3400,1177,11,-558
-2803,16733,3400,1054,34,-711
-2828,16760,3367,940,47,-898
-2862,16774,3314,834,12,-1097
-2875,16758,3272,725,-78,-1300
-2878,16735,3224,621,-187,-1502
-2907,16714,3159,526,-306,-1705
-2960,16700,3098,442,-454,-1905
-3022,16668,3058,355,-619,-2082
-3090,16618,3024,277,-767,-2217
-3157,16569,2986,222,-887,-2302
-3220,16522,2954,184,-995,-2340
-3259,16468,2929,150,-1106,-2337
-3263,16422,2912,111,-1208,-2296
-3269,16394,2902,65,-1260,-2226
-3321,16370,2904,12,-1247,-2143
-3403,16350,2916,-35,-1197,-2053
-3473,16338,2920,-76,-1137,-1943
-3531,16344,2921,-109,-1054,-1803
-3600,16311,2898,-157,-934,-1626
-3679,16305,2878,-216,-801,-1393
-3756,16304,2887,-280,-661,-1136
-3819,16254,2893,-332,-490,-852
-3837,16165,2935,-389,-264,-523
-3828,16062,2968,-453,89,-126
-3859,16001,2942,-510,605,318
-3979,15999,2851,-592,1177,771
-4153,16018,2761,-742,1609,1237
-4321,16046,2643,-924,1811,1756
-4470,16101,2466,-1163,1810,2375
-4604,16171,2232,-1528,1648,3106
-4743,16228,1964,-2094,1376,3963
-4902,16296,1683,-2897,1086,4977
-5007,16282,1585,-4063,889,6188
-4833,16036,1826,-5695,940,7608
-4274,15582,2287,-7643,1309,9217
-3379,15045,3092,-9524,1519,10815
-2752,14492,4016,-11118,1111,12195
-2661,13713,4453,-12409,136,13555
-2439,12338,4055,-13552,-1412,14939
-1188,10413,4188,-14441,-3823,15861
1087,8469,4691,-15107,-5752,16539
3633,7232,5567,-15168,-5968,17043
5256,6323,6261,-14883,-4039,17053
5836,5738,6742,-14275,-1271,16643
5861,5437,7068,-13478,860,15909
5874,5234,7474,-12625,1644,14925
6169,5106,8047,-11689,1210,13810
6682,5083,8733,-10700,177,12658
7280,5228,9422,-9717,-868,11527
7873,5369,10098,-8846,-1586,10427
8352,5421,10696,-8092,-1844,9356
8729,5445,11189,-7384,-1774,8314
9049,5498,11608,-6705,-1569,7291
9310,5518,11997,-6068,-1320,6283
9486,5469,12345,-5453,-1034,5290
9612,5383,12638,-4807,-761,4295
9693,5329,12838,-4106,-561,3270
9756,5319,12999,-3385,-464,2219
9810,5313,13136,-2670,-418,1170
9837,5275,13225,-1953,-344,151
9829,5205,13247,-1209,-260,-852
9810,5188,13211,-429,-226,-1862
9820,5254,13158,352,-222,-2867
9862,5297,13092,1094,-163,-3854
9817,5330,12952,1817,22,-4808
9618,5521,12712,2533,304,-5708
9367,5787,12450,3188,542,-6545
9164,6011,12246,3772,663,-7323
8942,6190,12005,4327,736,-8056
8672,6421,11721,4888,779,-8734
8329,6744,11385,5432,798,-9359
7932,7151,11023,5932,764,-9942
7520,7594,10673,6353,627,-10500
7083,8070,10387,6693,439,-11024
6607,8531,10116,6949,330,-11456
6091,8986,9788,7161,368,-11757
5575,9483,9373,7368,530,-11962
5098,9967,8904,7504,821,-12086
4633,10359,8438,7545,1301,-12114
4080,10666,7955,7532,2014,-12057
3388,10944,7470,7455,2877,-11891
2574,11181,6929,7317,3714,-11570
1726,11526,6351,7222,4274,-11110
968,12015,5775,7138,4445,-10536
340,12576,5275,7014,4304,-9963
-169,13007,4874,6778,4058,-9436
-613,13306,4543,6453,3877,-8888
-1042,13538,4254,6090,3812,-8302
-1493,13723,4002,5692,3817,-7705
-1929,13868,3815,5277,3836,-7085
-2298,13987,3673,4864,3928,-6423
-2660,14098,3541,4456,4166,-5745
-3051,14243,3388,4075,4500,-5066
-3448,14406,3241,3708,4817,-4408
-3848,14593,3090,3344,5074,-3752
-4285,14886,2898,3050,5231,-3135
-4714,15230,2709,2782,5210,-2628
-5105,15520,2561,2497,5020,-2244
-5461,15776,2435,2238,4705,-1966
-5716,15983,2364,2010,4273,-1788
-5868,16121,2337,1802,3806,-1692
-5976,16227,2304,1630,3390,-1652
-6070,16292,2258,1480,3018,-1636
-6111,16295,2215,1343,2640,-1600
-6092,16257,2153,1218,2238,-1539
-6021,16219,2072,1113,1778,-1474
-5908,16189,1997,1009,1254,-1425
-5767,16144,1954,892,695,-1403
-5615,16085,1942,777,164,-1398
-5469,16028,1947,683,-289,-1405
-5351,15981,1956,622,-633,-1421
-5275,15940,1949,585,-856,-1438
-5251,15900,1930,565,-968,-1448
-5270,15850,1904,557,-995,-1432
-5317,15804,1882,572,-952,-1370
-5379,15769,1862,618,-833,-1254
-5463,15767,1818,701,-611,-1088
-5571,15830,1723,819,-311,-885
-5705,15952,1575,940,-1,-674
-5867,16096,1401,1030,236,-476
-6024,16203,1229,1063,336,-281
-6147,16267,1077,1034,274,-61
-6207,16282,961,950,88,204
-6196,16230,873,804,-159,528
-6150,16150,780,598,-409,919
-6112,16077,671,328,-617,1372
-6090,16003,553,-20,-798,1877
-6043,15901,471,-444,-998,2438
-5981,15792,437,-922,-1221,3066
-5955,15756,426,-1458,-1426,3780
-6033,15831,357,-2096,-1572,4603
-6176,16003,355,-2917,-1731,5559
-6224,16137,471,-3919,-1912,6693
-6055,16048,751,-5143,-1980,8022
-5595,15767,1201,-6571,-1770,9569
-4908,15244,1720,-8211,-1229,11249
-3991,14401,2389,-10013,-607,12953
-2957,13419,3120,-11718,-198,14554
-1994,12452,3813,-13189,-59,15932
-1028,11202,4838,-14428,-198,17054
-291,9970,5418,-15208,-372,17927
565,8806,5833,-15543,-689,18573
1639,7731,6198,-15606,-966,18976
2891,6952,6697,-15378,-853,19076
3994,6323,7322,-14986,-204,18754
4671,5823,7965,-14426,826,18083
