accX,accY,accZ,gyroX,gyroY,gyroZ
-1553,-12200,-7251,-15333,458,-2426
1878,-12705,-4993,-17076,-1720,1092
4967,-12503,-2397,-18645,-2817,4260
7154,-11619,-75,-19284,-2897,6691
8126,-10176,1939,-18611,-2898,7373
8454,-8539,3726,-17285,-3138,7196
8278,-6832,5127,-15666,-3411,6737
7737,-5228,6131,-14038,-3648,6175
7075,-3819,6867,-12599,-3858,5717
6476,-2635,7409,-11407,-3999,5499
6030,-1757,7818,-10537,-4054,5573
5693,-1248,8069,-9903,-4079,5900
5407,-1033,8093,-9303,-4207,6415
5146,-971,7924,-8647,-4552,7071
4925,-1010,7640,-8059,-5095,7895
4774,-1225,7347,-7635,-5838,8904
4671,-1544,6955,-7180,-6874,9938
4502,-1836,6376,-6512,-8323,10814
4384,-2040,5734,-5793,-10359,11541
4491,-2300,5174,-5190,-12600,12546
4945,-2629,4812,-4626,-14616,14048
5693,-3017,4574,-4008,-16431,15910
6628,-3499,4261,-3278,-18065,17596
7771,-4108,3684,-2438,-19535,19113
9212,-4791,3049,-1639,-20666,20478
11053,-5677,2547,-824,-21551,21707
12854,-6575,2044,149,-21808,22813
14192,-7414,1514,1171,-21359,23809
15144,-8265,1011,2017,-20506,24704
16033,-9321,556,2661,-19825,25511
16800,-10435,39,3488,-19847,26236
17339,-11397,-487,4555,-20463,26889
17630,-12285,-942,5652,-21190,27477
17655,-13093,-1506,6656,-21672,27779
17655,-13872,-2115,7464,-22044,27696
17673,-14550,-2693,8116,-22410,27369
17690,-15080,-3220,8647,-22615,26795
17643,-15484,-3688,9035,-22411,25924
17412,-15751,-4137,9275,-21668,24743
16983,-15891,-4530,9315,-20513,23384
16402,-15952,-4841,9120,-19182,22002
15737,-15952,-5127,8702,-17866,20657
15043,-15919,-5374,8088,-16767,19284
14346,-15857,-5562,7342,-15935,17844
13666,-15784,-5698,6505,-15272,16390
13030,-15723,-5770,5612,-14670,14946
12413,-15686,-5763,4701,-13988,13509
11802,-15656,-5698,3800,-13168,12112
11220,-15667,-5543,2917,-12175,10776
10666,-15709,-5258,2115,-11063,9437
10138,-15720,-4912,1487,-9874,8117
9635,-15712,-4525,1008,-8630,6886
9146,-15706,-4137,659,-7329,5810
8689,-15683,-3816,439,-6013,4912
8285,-15670,-3521,286,-4783,4202
7918,-15662,-3266,172,-3604,3657
7584,-15647,-3059,40,-2399,3237
7277,-15650,-2907,-129,-1146,2913
6988,-15678,-2783,-339,56,2667
6710,-15706,-2682,-523,1074,2462
6404,-15717,-2623,-588,1739,2231
6144,-15677,-2589,-582,2020,2001
5951,-15644,-2549,-565,1970,1804
5820,-15627,-2499,-532,1710,1626
5730,-15616,-2460,-474,1383,1453
5675,-15611,-2429,-412,1082,1289
5660,-15591,-2364,-371,863,1147
5779,-15615,-2256,-392,765,1000
6179,-15759,-2126,-411,812,780
6962,-16013,-2031,-140,1068,284
8052,-16252,-1986,502,1654,-843
9245,-16640,-1902,1246,2459,-2970
10494,-17243,-1737,1955,2865,-5950
12348,-17806,-1512,2621,2364,-8631
14390,-18300,-1285,3077,1385,-11045
16227,-18627,-1248,3250,525,-13217
17881,-18698,-1255,3102,-260,-15172
19370,-18563,-1328,2617,-876,-16932
20710,-18309,-1506,1864,-1202,-18515
21651,-17954,-1803,957,-1255,-19940
22120,-17445,-2225,10,-1149,-21223
22171,-16826,-2655,-894,-959,-22377
21988,-16090,-3008,-1756,-666,-23416
21541,-15349,-3190,-2599,-130,-24351
20633,-14584,-3420,-3210,763,-25193
19246,-13705,-3597,-3705,1730,-25950
17537,-12827,-3708,-3974,2580,-26632
15635,-11899,-3721,-3803,3113,-27245
13570,-10864,-3686,-3157,3217,-27798
11521,-9792,-3594,-2213,2804,-28295
9307,-8800,-3552,-1072,2078,-28742
6619,-7890,-3683,195,1199,-29144
3646,-7057,-4092,1459,-15,-29446
690,-6352,-4628,2339,-1658,-28615
-2163,-5953,-5029,2562,-3289,-26433
-4770,-5821,-5476,2108,-4367,-23061
-7042,-5870,-6060,744,-4526,-18824
-8595,-6098,-6496,-1535,-4870,-13735
-8960,-6713,-6116,-4557,-5855,-9084
-7877,-7536,-5666,-7378,-7060,-4899
-5524,-9118,-4663,-9916,-8692,-1132
-1695,-11090,-2919,-12202,-10713,2257
1750,-12142,-902,-13829,-12038,5308
4852,-11875,862,-14134,-11360,8054
7643,-10925,2397,-13561,-9195,9691
9003,-9615,3629,-12511,-6494,9374
10226,-8436,4738,-11567,-4064,9089
11327,-7374,5736,-10717,-1876,8832
11068,-5855,6545,-9950,-1181,7947
10751,-4562,7241,-9348,-828,7231
10463,-3551,7817,-8851,-733,6692
10177,-2801,8172,-8388,-790,6284
9868,-2323,8325,-7991,-982,5968
9481,-2085,8292,-7665,-1312,5710
9012,-1982,8130,-7420,-1811,5492
8499,-2025,7871,-7296,-2525,5339
7935,-2212,7522,-7221,-3443,5259
7339,-2432,7092,-7057,-4553,5217
6819,-2602,6728,-6829,-5870,5237
6490,-2818,6445,-6609,-7306,5423
6389,-3130,6208,-6339,-8728,5925
6391,-3447,5856,-5831,-10006,6709
6468,-3660,5364,-5068,-11167,7735
6915,-3823,4879,-4269,-12406,9106
7875,-4077,4545,-3535,-13954,10994
9132,-4468,4083,-2562,-15507,13172
10543,-4821,3346,-1355,-16596,15131
12113,-5067,2657,-327,-17171,16895
13392,-5457,2013,498,-17196,18482
14525,-5857,1546,1229,-16945,19911
15829,-6406,1352,1736,-16658,21196
17164,-7099,1253,2114,-16037,22353
18106,-7824,1040,2523,-14945,23395
18620,-8603,787,2881,-13886,24332
18972,-9423,553,3175,-13417,25175
19289,-10259,348,3362,-13579,25935
19546,-11080,130,3483,-14099,26618
19762,-11851,-69,3571,-14687,27209
19938,-12533,-241,3664,-15099,27514
