meanaccX,maxaccX,minaccX,varaccX,medianaccX,25thpaccX,75thpaccX,meanaccY,maxaccY,minaccY,varaccY,medianaccY,25thpaccY,75thpaccY,meanaccZ,maxaccZ,minaccZ,varaccZ,medianaccZ,25thpaccZ,75thpaccZ,meangyroX,maxgyroX,mingyroX,vargyroX,mediangyroX,25thpgyroX,75thpgyroX,meangyroY,maxgyroY,mingyroY,vargyroY,mediangyroY,25thpgyroY,75thpgyroY,meangyroZ,maxgyroZ,mingyroZ,vargyroZ,mediangyroZ,25thpgyroZ,75thpgyroZ,label
2950.84,11141,-4722,16695290.454400001,1999,646.0,5160.0,-11858.12,-7710,-17667,8428406.9056,-12752,-14151.0,-9088.0,-61.4,4702,-9362,22264391.2,2723,-3814.0,3858.0,2659.4,18863,-8782,98295274.48,-897,-6021.0,14216.0,-1056.16,7480,-8318,24242009.9744,-489,-5739.0,2818.0,-2395.6,15408,-22561,129120824.24000001,1730,-10982.0,2760.0,1
4527.12,12849,-4584,24067799.545599997,4060,2026.0,8563.0,-14393.6,-10713,-19123,6757958.0,-14039,-16567.0,-12437.0,-1836.2,1757,-9998,16104450.0,1020,-4349.0,1243.0,3336.68,14709,-5557,61727236.4576,1337,-4679.0,12315.0,-4213.84,5715,-9165,22349742.1344,-5211,-8540.0,-2135.0,95.28,18670,-22149,162802128.2816,3989,-9840.0,8111.0,1
4804.08,10382,-4837,17180528.7136,5226,3261.0,8053.0,-14577.28,-10043,-19019,8880678.2816,-15673,-16782.0,-11762.0,-47.96,3406,-7443,14953604.1184,2459,-3227.0,3143.0,3119.64,16705,-7369,74279070.3104,1751,-5288.0,11116.0,-1565,3633,-6637,8814877.36,-1329,-3827.0,1162.0,1272.8,16681,-22058,128392051.84,3737,-2674.0,7250.0,1
11003.32,15990,3944,10117764.6976,11898,9354.0,13240.0,-3675.96,2233,-16174,29089141.5584,-2443,-6410.0,703.0,-5077.32,-2506,-8094,3205919.8176,-5095,-6419.0,-3205.0,-1178.64,4862,-12200,20255281.1904,-517,-2455.0,2089.0,-5186.04,3161,-15297,28036253.0784,-4824,-9900.0,-1074.0,-5465.28,5153,-13255,25419011.481599998,-6092,-9227.0,-1887.0,4
7439.52,9323,3630,2884586.4096,8382,6197.0,8726.0,-9212.72,-5554,-17284,11528204.1216,-8290,-10607.0,-6430.0,4989.6,6893,2812,1680563.92,5314,3594.0,6044.0,5083.4,14997,-8768,48937745.12,5674,782.0,10564.0,-4927.68,-1436,-8750,4070781.8176,-4956,-6298.0,-3494.0,-1265.6,3988,-3357,3836044.0000000005,-1995,-2643.0,-358.0,4
6206.68,8043,5331,542092.2176,6044,5681.0,6287.0,-13523.2,-10502,-15202,2514864.48,-14308,-14713.0,-12049.0,-7586.2,-1870,-11632,8039629.84,-7716,-9965.0,-6008.0,3997.4,14812,-17790,93839565.36,6515,357.0,11503.0,-353.08,5277,-8954,19823455.1136,1452,-3963.0,3203.0,-4289.88,32,-8467,11184337.3056,-4947,-7493.0,-638.0,2
3565.48,4861,1817,1237256.0896,3735,2605.0,4594.0,-12527.48,-9365,-14597,3024040.3296,-13103,-13953.0,-11092.0,-9730.64,-6311,-12799,3829673.5104,-9579,-11426.0,-8188.0,2988.36,13448,-19014,103539435.2704,6356,-1632.0,10580.0,-1872.64,1806,-8353,7555804.3904,-1343,-2915.0,-8.0,-3685.12,751,-7376,5876222.5856,-3355,-5619.0,-2225.0,2
3633.48,5710,1292,1964507.1296,3861,2581.0,4820.0,-11641.8,-9291,-14485,2449899.44,-11732,-12927.0,-10172.0,-10143.92,-6935,-13288,4741539.2736,-10254,-12374.0,-7955.0,2838.6,12085,-18481,93630262.8,6595,-1548.0,9996.0,444.28,7249,-4683,13108240.6016,491,-2908.0,2939.0,-3460.44,1681,-7233,6818156.486400001,-3037,-5727.0,-1936.0,2
5056.32,6280,3715,384588.5376,5070,4755.0,5437.0,-14190.12,-11027,-15502,2228709.4655999998,-14993,-15261.0,-13128.0,-7759.68,-1762,-13190,11446835.7376,-7710,-10495.0,-5425.0,2433.4,11745,-18903,72724752.8,4188,2076.0,8499.0,2211.44,9752,-5437,24253350.0064,2001,-3971.0,5984.0,-3371.4,-403,-8772,7992568.24,-3004,-5863.0,-752.0,2
7972.6,9709,6288,1383769.28,7545,6916.0,9269.0,-11205.04,-6069,-15216,10631496.5184,-11671,-14426.0,-8171.0,-6830.36,-2394,-9489,4177466.4704,-7553,-8254.0,-5479.0,-2892.24,6477,-16367,59842719.7024,896,-10170.0,3527.0,1727.48,12504,-7154,39816664.8896,976,-4332.0,6657.0,4255.36,14720,-6254,52617207.8304,5685,-2867.0,10830.0,2
8334.8,10271,7066,1258854.16,7586,7333.0,9464.0,-9098.44,-4841,-14022,10048244.646399999,-8925,-12280.0,-6084.0,-8445.28,-3857,-10877,4625749.6416,-9352,-9820.0,-7001.0,-2372.44,6271,-15280,52613282.3264,646,-8935.0,4178.0,2340.96,11641,-6400,38007614.3584,1966,-3430.0,8452.0,3917.56,15147,-6871,60823761.6064,2368,-3363.0,11856.0,2
8626.48,11094,7067,2027571.6896,8166,7382.0,9987.0,-8716.76,-3648,-14178,13531188.1024,-8656,-12428.0,-5335.0,-7550.56,-2830,-10017,4825601.0464,-8553,-9157.0,-6301.0,-1684.36,7054,-14842,51473504.950399995,2082,-8213.0,4305.0,2654.2,13333,-6586,39929736.64,2786,-3477.0,7408.0,5084.32,16549,-6249,63042112.2176,5983,-2863.0,12648.0,2
7730.88,9970,5519,2651558.4256,7099,6347.0,9493.0,-7117.44,-2269,-13125,13108497.8464,-6745,-10511.0,-3610.0,-8590.08,-4295,-11156,3844099.9936,-9215,-9797.0,-7512.0,-3151.88,5704,-16612,53343583.1456,-820,-9410.0,3444.0,2983.48,12770,-5109,37541930.4896,1474,-2789.0,8888.0,4493.04,16005,-5645,61524151.1584,1945,-2528.0,12927.0,2
9500.84,13601,4381,8401845.2544,10776,7040.0,11910.0,-8235.24,-2227,-13590,18254496.9824,-8660,-12468.0,-3221.0,-774.08,2137,-3621,2512910.6336,-776,-1722.0,165.0,1333.88,13429,-15266,100562407.70560001,5672,-9035.0,9367.0,4197.8,13449,-161,13942153.68,3031,1670.0,4951.0,-771.56,14716,-23501,186112451.60639998,5254,-13881.0,10597.0,3
7695,16516,1436,22571655.84,7064,3261.0,12159.0,-7392.64,-1274,-17738,23511168.5504,-7732,-10614.0,-2527.0,-1475.12,1748,-4214,4673254.1056,-1878,-3717.0,797.0,-75.76,15058,-14944,132704787.1424,-481,-12212.0,11524.0,4939.4,11115,-1245,9484092.799999999,5063,3206.0,6763.0,-2242.92,16336,-22590,210506789.51360002,-1585,-16711.0,12482.0,3
7148.76,14596,1827,18443189.3824,6684,2654.0,11656.0,-6170.6,901,-16487,30877069.52,-6069,-11275.0,-859.0,-306.68,3279,-3381,5345525.9776,-865,-2323.0,2248.0,-382.04,15781,-15526,133724995.4784,-2302,-12017.0,11891.0,6367.8,13121,3178,8043810.08,5040,4424.0,6779.0,-3530.4,17563,-22791,222256380.32,-5133,-19266.0,12439.0,3
