,accX,accY,accZ,gyroX,gyroY,gyroZ
330,6813,-4085,-7760,20479,1985,14707
331,8750,-5954,-9298,21708,-560,16513
332,10458,-7546,-10514,22814,-1605,17373
333,11444,-8683,-11318,23809,-228,17122
334,11756,-9583,-11728,24705,2716,16545
335,11461,-10470,-11712,25511,5722,16091
336,11056,-11396,-11236,26237,8426,16139
337,10642,-12523,-10370,26622,10860,16583
338,10336,-13788,-9224,26526,13051,17419
339,10079,-15030,-8157,26102,15022,18441
340,9676,-16037,-7264,25462,16341,19259
341,9366,-16668,-6377,24508,16259,19736
342,9104,-16977,-5476,23229,15153,19734
343,8836,-17041,-4599,21756,13575,19255
344,8555,-16981,-3739,20159,11947,18428
345,8215,-16885,-3011,18513,10586,17296
346,7930,-16804,-2447,16791,9578,15989
347,7653,-16785,-2029,15055,8671,14669
348,7484,-16805,-1636,13444,7548,13467
349,7342,-16781,-1230,11996,6412,12352
350,7112,-16701,-879,10688,5439,11235
351,6866,-16666,-499,9445,4524,10160
352,6731,-16663,-131,8316,3657,9186
353,6750,-16650,204,7297,2932,8291
354,6761,-16642,538,6398,2468,7326
355,6741,-16634,770,5595,2410,6286
356,6718,-16651,837,4758,2632,5161
357,6742,-16723,776,3798,2690,3892
358,6910,-16926,644,2652,2251,2491
359,7200,-17290,488,1320,1342,941
360,7529,-17774,297,-155,249,-794
361,7809,-18395,-30,-1806,-797,-2705
362,8102,-19101,-548,-3672,-1901,-4724
363,8396,-19893,-1233,-5724,-3428,-6722
364,8804,-20669,-1991,-7928,-5339,-8506
365,9350,-21345,-2800,-10176,-7275,-10050
366,9944,-21859,-3708,-12435,-8721,-11384
367,10440,-22202,-4786,-14468,-9604,-12649
368,10872,-22366,-5979,-16298,-10316,-13848
369,11315,-22443,-7110,-17945,-11008,-14865
370,11394,-22286,-8182,-19427,-11293,-15790
371,11129,-22041,-9085,-20761,-11024,-16553
372,10888,-21604,-9640,-21962,-10802,-16951
373,10601,-21178,-9817,-23042,-10632,-17210
374,10410,-20534,-9677,-24015,-9860,-17237
375,10092,-19843,-9053,-24890,-8209,-17166
376,9438,-18998,-7966,-25678,-6176,-17299
377,8499,-17789,-6613,-26386,-4526,-17640
378,7698,-16196,-5118,-27025,-3834,-17801
379,7109,-14597,-3383,-27294,-3893,-17831
380,6707,-12829,-2084,-26618,-3677,-17569
381,6278,-11050,-1391,-25166,-2909,-17100
382,5769,-9205,-1261,-23272,-2134,-16422
383,5307,-7317,-1483,-21260,-1758,-15366
384,5034,-5421,-1933,-19299,-1780,-13946
385,4985,-3598,-2513,-17492,-1924,-12329
386,5111,-1917,-3105,-15885,-1996,-10736
387,5314,-392,-3615,-14465,-1956,-9322
388,5477,986,-4044,-13198,-1873,-8129
389,5674,2227,-4392,-12075,-1904,-7083
390,5962,3335,-4658,-11077,-1965,-6149
