,accX,accY,accZ,gyroX,gyroY,gyroZ
237,4922,-15552,2371,3362,940,10134
238,4623,-15538,2480,2973,854,8983
239,4423,-15527,2578,2609,694,7849
240,4294,-15522,2634,2260,526,6704
241,4201,-15528,2643,1920,362,5496
242,4144,-15554,2612,1575,119,4191
243,4163,-15614,2560,1196,-312,2776
244,4263,-15718,2499,762,-946,1256
245,4438,-15855,2393,257,-1731,-341
246,4685,-16041,2240,-335,-2667,-1957
247,5029,-16226,2022,-1026,-3704,-3533
248,5427,-16435,1740,-1837,-4770,-5130
249,5892,-16674,1369,-2784,-5849,-6701
250,6358,-16934,920,-3850,-6991,-8094
251,6908,-17164,406,-5088,-8156,-9208
252,7517,-17406,-200,-6537,-9146,-10245
253,8102,-17687,-907,-8210,-10013,-11329
254,8600,-17993,-1777,-10105,-10907,-12377
255,9141,-18261,-2646,-12227,-11932,-13278
256,9746,-18486,-3521,-14281,-12693,-14054
257,10423,-18537,-4351,-16130,-12907,-14745
258,11002,-18413,-5118,-17793,-12608,-15440
259,11432,-18111,-5744,-19291,-11866,-16149
260,11873,-17652,-6283,-20638,-10749,-16784
261,12385,-17100,-6763,-21851,-9447,-17348
262,12821,-16443,-7106,-22943,-8031,-17899
263,13105,-15679,-7291,-23925,-6379,-18507
264,13283,-14850,-7394,-24693,-4555,-19165
265,13327,-13988,-7486,-25045,-2840,-19862
266,13248,-13085,-7592,-25038,-1531,-20588
267,13077,-12109,-7642,-24772,-717,-21321
268,12826,-11078,-7667,-24330,-204,-22000
269,12546,-10032,-7692,-23772,182,-22571
270,12193,-8952,-7679,-23143,485,-23067
271,11698,-7819,-7635,-22463,736,-23496
272,11136,-6595,-7533,-21775,950,-23790
273,10570,-5351,-7380,-21097,1088,-23931
274,10005,-4110,-7165,-20412,1157,-23931
275,9387,-2864,-6892,-19711,1257,-23819
276,8698,-1623,-6627,-18953,1471,-23613
277,7990,-408,-6326,-18173,1774,-23250
278,7347,727,-5953,-17378,2136,-22700
279,6746,1812,-5565,-16512,2637,-21987
280,6061,2864,-5197,-15556,3220,-21223
281,5303,3928,-4856,-14571,3737,-20443
282,4544,4964,-4486,-13585,4050,-19618
283,3814,5936,-4110,-12554,4150,-18700
284,3077,6869,-3814,-11476,4104,-17653
285,2403,7773,-3538,-10433,3900,-16454
286,1815,8630,-3212,-9443,3588,-15106
287,1349,9413,-2904,-8459,3252,-13616
288,1022,10125,-2691,-7476,2892,-12048
289,816,10759,-2585,-6544,2442,-10469
290,715,11334,-2560,-5685,1867,-8943
291,747,11831,-2521,-4940,1263,-7501
292,881,12241,-2482,-4273,781,-6177
293,1042,12600,-2519,-3649,439,-5003
294,1160,12940,-2643,-3081,123,-3994
295,1236,13244,-2778,-2625,-227,-3123
296,1326,13489,-2857,-2279,-567,-2319
297,1480,13679,-2878,-2001,-853,-1537
298,1651,13828,-2914,-1733,-1075,-804
299,1764,13967,-2976,-1466,-1228,-145
300,1783,14077,-3047,-1219,-1300,476
301,1784,14151,-3096,-989,-1342,1124
302,1836,14171,-3084,-772,-1428,1827
303,1909,14120,-3043,-519,-1523,2556
304,1938,13981,-3056,-192,-1561,3313
305,1915,13769,-3101,183,-1580,4173
306,1919,13460,-3137,571,-1675,5208
307,2032,13041,-3143,997,-1899,6422
308,2309,12539,-3124,1504,-2180,7754
309,2722,12016,-3132,2141,-2385,9104
310,3161,11496,-3185,2943,-2430,10396
311,3545,10949,-3257,3863,-2285,11645
312,3961,10395,-3310,4850,-1955,12917
313,4502,9822,-3413,5925,-1506,14186
314,5140,9170,-3608,7090,-1049,15393
315,5659,8410,-3899,8281,-620,16490
316,6104,7576,-4121,9387,-211,17601
317,6668,6649,-4261,10442,144,18820
318,7521,5717,-4557,11570,320,20074
319,8586,4595,-4995,12668,388,21143
320,9415,3429,-5356,13712,595,21872
321,10024,2293,-5619,14657,1076,22480
322,10633,1236,-5784,15520,1757,23102
323,11317,185,-5951,16287,2372,23752
324,12001,-975,-6094,16979,2704,24315
325,12638,-2172,-6152,17663,2970,24789
326,13207,-3191,-6066,18350,3641,25244
327,13666,-4198,-5768,18913,5035,25692
328,13863,-5238,-5359,19301,7225,26291
329,13749,-6326,-4875,19371,9779,26938
330,13264,-7760,-4474,19235,12078,27521
331,12639,-9310,-4087,18902,13600,28046
332,12121,-10811,-3673,18249,13191,28518
333,11965,-12183,-3208,17297,11154,28943
334,12042,-13241,-2743,16205,8416,29325
335,12147,-13922,-2267,15067,5981,29188
336,12096,-14334,-1794,13932,4310,28269
337,11824,-14627,-1382,12794,3267,26750
338,11433,-14827,-1021,11701,2442,24983
339,10977,-14912,-735,10704,1618,23220
340,10521,-14951,-468,9782,743,21500
341,10069,-15026,-199,8923,-94,19863
342,9649,-15120,53,8139,-826,18339
343,9278,-15206,301,7410,-1415,16893
344,8907,-15267,565,6727,-1771,15509
345,8480,-15314,800,6075,-1863,14181
346,8018,-15344,1014,5451,-1822,12920
347,7587,-15362,1199,4857,-1776,11728
348,7204,-15378,1368,4301,-1757,10589
349,6837,-15398,1521,3784,-1716,9491
350,6506,-15426,1652,3304,-1634,8439
351,6234,-15463,1780,2860,-1528,7436
352,6016,-15498,1887,2437,-1377,6483
353,5872,-15529,1975,2020,-1179,5562
354,5793,-15565,2036,1599,-931,4632
355,5751,-15626,2075,1168,-626,3648
356,5731,-15702,2094,735,-312,2598
357,5725,-15779,2087,289,-95,1450
358,5770,-15874,2085,-193,-116,191
359,5921,-16020,2033,-734,-440,-1186
360,6190,-16164,1956,-1324,-1033,-2623
361,6572,-16318,1823,-1976,-1742,-4027
362,7065,-16484,1629,-2675,-2382,-5365
363,7619,-16693,1389,-3409,-2810,-6659
364,8207,-16875,1166,-4139,-3019,-7956
365,8743,-17046,855,-4924,-3125,-9315
366,9257,-17222,402,-5797,-3344,-10772
367,9797,-17343,-84,-6828,-3923,-12276
368,10380,-17330,-655,-8113,-4860,-13741
369,11044,-17215,-1336,-9681,-6055,-15138
370,11743,-17035,-2099,-11516,-7379,-16397
371,12423,-16762,-2835,-13469,-8533,-17527
372,13035,-16342,-3487,-15399,-9221,-18497
373,13550,-15798,-4137,-17136,-9392,-19355
374,13948,-15178,-4744,-18699,-9175,-20123
375,14295,-14497,-5309,-20106,-8692,-20769
376,14596,-13757,-5711,-21372,-8120,-21311
377,14775,-12956,-5977,-22511,-7497,-21828
378,14833,-12149,-6232,-23533,-6818,-22342
379,14799,-11386,-6409,-24283,-6112,-22850
380,14643,-10589,-6473,-24734,-5339,-23356
381,14335,-9742,-6483,-24877,-4506,-23848
382,13920,-8816,-6463,-24749,-3713,-24276
383,13473,-7841,-6386,-24436,-3026,-24593
384,12992,-6805,-6305,-23960,-2396,-24814
385,12376,-5641,-6166,-23372,-1780,-24939
386,11661,-4376,-5981,-22697,-1199,-24942
387,10911,-3120,-5722,-21976,-709,-24782
388,10116,-1894,-5394,-21219,-256,-24420
389,9257,-713,-5063,-20339,261,-23901
390,8331,461,-4677,-19374,833,-23205
391,7460,1593,-4240,-18349,1439,-22213
392,6721,2640,-3803,-17229,2019,-20979
393,6099,3646,-3422,-16012,2596,-19608
394,5538,4627,-3073,-14773,3111,-18233
395,5029,5580,-2764,-13559,3476,-16928
396,4599,6459,-2485,-12380,3615,-15601
397,4275,7249,-2239,-11223,3543,-14172
398,4046,7979,-2046,-10083,3302,-12657
399,3863,8661,-1903,-8981,2876,-11131
400,3741,9289,-1788,-7934,2294,-9644
401,3694,9839,-1667,-6953,1684,-8221
402,3712,10324,-1538,-6023,1193,-6870
403,3764,10735,-1440,-5113,855,-5599
